房源名称,房型面积,户型,朝向,地区,具体地址,照片地址,链接地址,月租价格
合租·北辰三角洲奥城E4区,12.00㎡,5室1厅2卫,东南,开福,北辰三角洲-北辰三角洲奥城E4区,https://image1.ljcdn.com/rent-user-avatar/b9f881d7-d88d-4604-9206-395dbbf274be.250x182.jpg,https://cs.lianjia.com/zufang/CS1668836563619938304.html,599 元/月
整租·万润时光里,44.00㎡,1室1厅1卫,南,天心,金盆岭-万润时光里,"https://image1.ljcdn.com/110000-inspection/pc1_vMCcQU5Vp.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1645396534436560896.html,2000 元/月
合租·北辰三角洲C2区,25.00㎡,4室1厅2卫,东南,开福,北辰三角洲-北辰三角洲C2区,https://image1.ljcdn.com/rent-user-avatar/d74af357-6034-43d0-859a-9afb8196b12b.250x182.jpg,https://cs.lianjia.com/zufang/CS1670295443659030528.html,1258 元/月
整租·万润时光里,40.00㎡,1室1厅1卫,东,天心,金盆岭-万润时光里,"https://image1.ljcdn.com/110000-inspection/pc1_RKeoiHJy3.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1645398882345025536.html,2000 元/月
整租·华晨世纪广场,西北,1室1厅1卫,北东北,雨花,高桥-华晨世纪广场,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1645634411716149248.html,16000 元/月
整租·山水湾,88.00㎡,3室2厅1卫,南,长沙县,万家丽北-山水湾,"https://image1.ljcdn.com/110000-inspection/pc1_K7pabAJhO.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1645412164015489024.html,1700 元/月
整租·永定小区,62.00㎡,2室1厅1卫,南,雨花,高桥-永定小区,"https://image1.ljcdn.com/110000-inspection/pc1_rSSkpiq6S.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1645634839883284480.html,1500 元/月
整租·满庭芳,136.00㎡,3室2厅1卫,南,天心,铁道学院-满庭芳,"https://image1.ljcdn.com/110000-inspection/pc1_llX4C04UF.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1645420041212002304.html,2500 元/月
整租·王家垅,115.00㎡,4室2厅1卫,南北,开福,烈士公园-王家垅,"https://image1.ljcdn.com/110000-inspection/pc1_dUZl4DXUk_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1645418840709922816.html,2500 元/月
整租·星语林名园,80.00㎡,2室1厅1卫,南,雨花,铁道学院-星语林名园,"https://image1.ljcdn.com/110000-inspection/pc1_D2IbOCB3i_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1645629833482338304.html,1800 元/月
合租·北辰三角洲C2区,20.00㎡,4室1厅2卫,东南,开福,北辰三角洲-北辰三角洲C2区,https://image1.ljcdn.com/rent-user-avatar/bd11c657-3da8-4ff4-b4bf-dceb8b39261b.250x182.jpg,https://cs.lianjia.com/zufang/CS1673203637674835968.html,858 元/月
合租·中建梅溪湖中心,12.00㎡,5室1厅2卫,东南,岳麓,梅溪湖北岸-中建梅溪湖中心,https://image1.ljcdn.com/rent-user-avatar/950da66f-e5f5-435f-bf8c-d0012ad28ce4.250x182.jpg,https://cs.lianjia.com/zufang/CS1683332448026361856.html,657 元/月
合租·世纪城聚江苑,20.00㎡,5室1厅2卫,东南,开福,湘江世纪城-世纪城聚江苑,https://image1.ljcdn.com/rent-user-avatar/2fdc6ec3-4141-406f-8d64-25f0a6440f3a.250x182.jpg,https://cs.lianjia.com/zufang/CS1692496413633544192.html,607 元/月
整租·城市动力,122.00㎡,2室1厅1卫,南北,雨花,左家塘-城市动力,"https://image1.ljcdn.com/110000-inspection/pc1_mDPTAU05o.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1645383970608644096.html,2400 元/月
合租·湘府邻伴,18.00㎡,5室1厅2卫,东南,天心,德思勤-湘府邻伴,https://image1.ljcdn.com/rent-user-avatar/608a4acc-7936-4d81-ac8d-bbf4ae18541e.250x182.jpg,https://cs.lianjia.com/zufang/CS1688112079023636480.html,758 元/月
整租·保利东郡,144.00㎡,4室2厅2卫,南,长沙县,星沙其他-保利东郡,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1645997214457135104.html,3000 元/月
整租·方略城市广场,87.00㎡,3室2厅1卫,南,长沙县,开元路-方略城市广场,"https://image1.ljcdn.com/110000-inspection/pc1_zXNVh32S4.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1645993108912996352.html,2100 元/月
整租·凯乐国际城一期,90.00㎡,2室2厅1卫,南北,开福,伍家岭-凯乐国际城一期,"https://image1.ljcdn.com/110000-inspection/pc1_JpbvqUqAF_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1646023014237601792.html,2800 元/月
合租·振业城,20.00㎡,5室1厅2卫,东南,岳麓,梅溪湖北岸-振业城,https://image1.ljcdn.com/rent-user-avatar/4a7c8376-0ba6-49f2-b835-dbdb9d881bba.250x182.jpg,https://cs.lianjia.com/zufang/CS1679080964090757120.html,899 元/月
整租·望江公寓,100.15㎡,3室2厅2卫,南北,开福,伍家岭-望江公寓,"https://image1.ljcdn.com/110000-inspection/pc1_rir3w2MNo.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1646028784232562688.html,2300 元/月
整租·江山帝景哈佛,99.57㎡,3室2厅1卫,南北,岳麓,含浦-江山帝景哈佛,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1646001057752416256.html,2300 元/月
整租·天一康园南区,153.00㎡,3室2厅2卫,南,天心,湘府路-天一康园南区,"https://image1.ljcdn.com/110000-inspection/pc1_531qyYN8c.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1646016892776742912.html,4500 元/月
整租·龙湖春江郦城,131.00㎡,3室2厅2卫,南,岳麓,滨江新城-龙湖春江郦城,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1646015841990344704.html,7800 元/月
整租·欧莱雅郡,189.00㎡,5室2厅1卫,南,雨花,汽车南站-欧莱雅郡,"https://image1.ljcdn.com/110000-inspection/pc1_MfGZQnyAH.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1645778818041905152.html,3500 元/月
整租·宇洋西海广场,60.00㎡,1室1厅1卫,南,岳麓,金星中路-宇洋西海广场,"https://image1.ljcdn.com/110000-inspection/pc1_qyyDcIaMe.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1645770570949722112.html,2200 元/月
整租·云集国际广场,37.88㎡,1室1厅1卫,南,雨花,韶山南路-云集国际广场,https://image1.ljcdn.com/rent-user-avatar/3ae5126b-d8b2-4cf9-8814-d98c362d17f1.250x182.jpg,https://cs.lianjia.com/zufang/CS1688390653085483008.html,1658 元/月
整租·阳光锦城,36.00㎡,1室1厅1卫,南,雨花,雨花亭-阳光锦城,https://image1.ljcdn.com/rent-user-avatar/6ebbae6d-d2b6-4353-890b-7918349cef40.250x182.jpg,https://cs.lianjia.com/zufang/CS1688395393458503680.html,1725 元/月
整租·和悦城,183.00㎡,1室1厅1卫,南,长沙县,万家丽北-和悦城,"https://image1.ljcdn.com/110000-inspection/pc1_g7boSJRer.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2876650447261933568.html,5500 元/月
整租·碧桂园威尼斯城水岸人家,135.00㎡,4室2厅2卫,南北,长沙县,松雅湖-碧桂园威尼斯城水岸人家,"https://image1.ljcdn.com/110000-inspection/pc1_HlWooMWif_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2877419779621126144.html,800 元/月
整租·香颂国际,51.00㎡,1室1厅1卫,南,雨花,韶山南路-香颂国际,https://image1.ljcdn.com/rent-user-avatar/b72312b4-6a3d-4f71-b10b-eff889d6864a.250x182.jpg,https://cs.lianjia.com/zufang/CS1688457819465973760.html,1570 元/月
整租·恒大雅苑,92.00㎡,2室1厅1卫,南,开福,广电-恒大雅苑,"https://image1.ljcdn.com/110000-inspection/pc1_MmfhjiQau.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2877501273639223296.html,2200 元/月
整租·东城港,45.00㎡,1室1厅1卫,南,雨花,武广新城-东城港,"https://image1.ljcdn.com/110000-inspection/pc1_JzFFHkHka.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2875212394316447744.html,1700 元/月
整租·阳光100国际新城二期,64.00㎡,1室1厅1卫,南北,岳麓,阳光100-阳光100国际新城二期,"https://image1.ljcdn.com/110000-inspection/pc1_qtglk6XqL.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2875976357446696960.html,1700 元/月
整租·万科魅力之城,106.91㎡,3室2厅2卫,南,雨花,武广新城-万科魅力之城,"https://image1.ljcdn.com/110000-inspection/pc1_cmLVxCRZH.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2876233549844062208.html,3800 元/月
整租·钰龙天下,155.00㎡,4室2厅2卫,南,岳麓,观沙岭-钰龙天下,"https://image1.ljcdn.com/110000-inspection/pc1_pXApZA7O4.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2877525088948207616.html,3600 元/月
整租·中一九骏,96.00㎡,3室2厅1卫,南,岳麓,汽车西站-中一九骏,"https://image1.ljcdn.com/110000-inspection/pc1_XP9loqTj6.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2877432709477834752.html,3200 元/月
整租·建湘新村,45.00㎡,3室1厅1卫,南,开福,烈士公园-建湘新村,"https://image1.ljcdn.com/110000-inspection/pc1_6yAC7VQFH.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2881003917935132672.html,1000 元/月
整租·北辰定江洋,200.00㎡,4室1厅2卫,南,开福,北辰三角洲-北辰定江洋,"https://image1.ljcdn.com/110000-inspection/pc1_BF8oTZ7ao.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2881883242636779520.html,18000 元/月
整租·长远华樟名府,39.00㎡,1室1厅1卫,南,雨花,尚东-长远华樟名府,https://image1.ljcdn.com/rent-user-avatar/8965ccad-9b78-41b3-a282-b9a7ce72fbd2.250x182.jpg,https://cs.lianjia.com/zufang/CS1688514512249946112.html,1545 元/月
整租·双湾国际,134.73㎡,3室2厅1卫,南北,开福,金霞-双湾国际,"https://image1.ljcdn.com/110000-inspection/pc1_ASeogOqzn_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2881321404895068160.html,1600 元/月
整租·长远华樟名府,43.00㎡,1室1厅1卫,南,雨花,尚东-长远华樟名府,https://image1.ljcdn.com/rent-user-avatar/aa4b338a-c54a-4d02-96f0-82ce39a5188a.250x182.jpg,https://cs.lianjia.com/zufang/CS1688504183109451776.html,1601 元/月
整租·云集国际广场,53.00㎡,1室1厅1卫,南,雨花,韶山南路-云集国际广场,https://image1.ljcdn.com/rent-user-avatar/59c183c2-ee4b-49fa-9a41-878659481092.250x182.jpg,https://cs.lianjia.com/zufang/CS1688764031805947904.html,1640 元/月
整租·幸福庄园,125.13㎡,5室2厅2卫,南北,天心,暮云-幸福庄园,"https://image1.ljcdn.com/110000-inspection/pc1_6ZWzK9jog_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2880978793047269376.html,2300 元/月
整租·龙湖紫宸,122.44㎡,3室2厅2卫,南北,望城,金星北-龙湖紫宸,"https://image1.ljcdn.com/110000-inspection/pc1_pjPATDnty.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2881189492407418880.html,1500 元/月
整租·华府一航线,55.00㎡,1室1厅1卫,西,开福,烈士公园-华府一航线,https://image1.ljcdn.com/rent-user-avatar/8c79c2a5-bfc0-43ca-b80a-256aaa74596b.250x182.jpg,https://cs.lianjia.com/zufang/CS1688756212000096256.html,1688 元/月
整租·长沙恒大文化旅游城,76.00㎡,2室2厅1卫,东南,岳麓,岳麓其他-长沙恒大文化旅游城,"https://image1.ljcdn.com/110000-inspection/pc1_ZcJSEjlgO.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2881680881804640256.html,2500 元/月
整租·东方芙蓉,40.00㎡,1室1厅1卫,南,芙蓉,马王堆-东方芙蓉,https://image1.ljcdn.com/rent-user-avatar/237dace1-d6cf-45ad-8d0b-e5af187e1c7e.250x182.jpg,https://cs.lianjia.com/zufang/CS1688751521019199488.html,1727 元/月
整租·三江花中城,117.68㎡,3室2厅2卫,南北,雨花,武广新城-三江花中城,"https://image1.ljcdn.com/110000-inspection/pc1_JhdCnRQ1y.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2881156614281773056.html,3200 元/月
整租·云集国际广场,53.00㎡,1室1厅1卫,南,雨花,韶山南路-云集国际广场,https://image1.ljcdn.com/rent-user-avatar/beccb6e6-45f1-42a5-aefd-2be84f2d3ba4.250x182.jpg,https://cs.lianjia.com/zufang/CS1688775416346574848.html,1640 元/月
整租·华润翡翠府,38.00㎡,1室1厅1卫,南,雨花,韶山南路-华润翡翠府,https://image1.ljcdn.com/rent-user-avatar/44499e0b-0312-4177-a029-f12f9e8d1a1c.250x182.jpg,https://cs.lianjia.com/zufang/CS1689123649270841344.html,1575 元/月
合租·西子花苑,35.00㎡,5室1厅2卫,南,雨花,高桥-西子花苑,https://image1.ljcdn.com/rent-user-avatar/e1d7a8ca-f037-4d29-9a22-f42640889751.250x182.jpg,https://cs.lianjia.com/zufang/CS1689126782336237568.html,1130 元/月
整租·省交通技校宿舍,102.00㎡,3室1厅1卫,南,雨花,侯家塘-省交通技校宿舍,"https://image1.ljcdn.com/110000-inspection/pc1_xOL1PsHtJ.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2882705343266430976.html,4000 元/月
整租·远洋外滩壹号,45.00㎡,1室1厅1卫,南,岳麓,观沙岭-远洋外滩壹号,"https://image1.ljcdn.com/110000-inspection/pc1_Pgs3D7pij.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2882793097107357696.html,2700 元/月
整租·德泽苑,169.00㎡,5室2厅2卫,南,天心,暮云-德泽苑,"https://image1.ljcdn.com/110000-inspection/pc1_WSa2wyA76.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2882717000285552640.html,3500 元/月
整租·怡海星城,42.18㎡,1室1厅1卫,南,天心,暮云-怡海星城,"https://image1.ljcdn.com/110000-inspection/35ee8560-6697-4dc6-b88d-715813bd6505_1000.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS2881220265813999616.html,1100 元/月
整租·明昇壹城,37.00㎡,1室1厅1卫,南,雨花,武广新城-明昇壹城,https://image1.ljcdn.com/rent-user-avatar/2f3c6e88-e18b-4a33-aa17-2f1b4c2f573e.250x182.jpg,https://cs.lianjia.com/zufang/CS1689832347391754240.html,1573 元/月
整租·滕泰佳园,131.00㎡,3室2厅1卫,南北,天心,暮云-滕泰佳园,"https://image1.ljcdn.com/110000-inspection/pc1_64jI1YNRq.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651183411924041728.html,2200 元/月
整租·凯富漫城,90.00㎡,2室2厅1卫,南,天心,暮云-凯富漫城,"https://image1.ljcdn.com/110000-inspection/pc1_l0HAFvY32.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651174168734990336.html,1600 元/月
整租·凯通公馆,40.00㎡,1室1厅1卫,南,芙蓉,火车站-凯通公馆,https://image1.ljcdn.com/rent-user-avatar/960d9b42-06a5-448f-ac2b-c5d59ff2c624.250x182.jpg,https://cs.lianjia.com/zufang/CS1689864222030168064.html,1669 元/月
整租·凯通公馆,44.34㎡,1室1厅1卫,南,芙蓉,火车站-凯通公馆,https://image1.ljcdn.com/rent-user-avatar/a978a18d-17d5-49c6-b975-997c1d3bfdcc.250x182.jpg,https://cs.lianjia.com/zufang/CS1689867361848393728.html,1668 元/月
整租·城南故事,41.63㎡,1室1厅1卫,南,雨花,井湾子-城南故事,"https://image1.ljcdn.com/110000-inspection/pc1_DIxxhO1fr.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651176189491937280.html,1500 元/月
整租·映客龙湖璟翠公馆,142.00㎡,4室2厅2卫,南北,岳麓,洋湖垸-映客龙湖璟翠公馆,"https://image1.ljcdn.com/110000-inspection/pc1_4spolYHRy.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651409854968889344.html,3800 元/月
整租·凯通公馆,38.00㎡,1室1厅1卫,南,芙蓉,火车站-凯通公馆,https://image1.ljcdn.com/rent-user-avatar/e0add6bd-831e-4765-9a73-0b3911895f41.250x182.jpg,https://cs.lianjia.com/zufang/CS1689871779591356416.html,1668 元/月
整租·钰龙天下二期,48.15㎡,1室1厅1卫,南,岳麓,观沙岭-钰龙天下二期,"https://image1.ljcdn.com/110000-inspection/pc1_KHEsxUMTH_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651259004451553280.html,1688 元/月
整租·圆泰长沙印,51.00㎡,2室2厅1卫,西,岳麓,银盆岭-圆泰长沙印,"https://image1.ljcdn.com/110000-inspection/pc1_MrbLaLYJs.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651163945328705536.html,3500 元/月
整租·和庄,58.00㎡,1室1厅1卫,南,天心,新开铺-和庄,"https://image1.ljcdn.com/430100-inspection/prod-824aa137-b6b0-4501-9cbe-eb8b43441e8a.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651186914406957056.html,1500 元/月
整租·君悦香邸,73.61㎡,2室1厅1卫,南,开福,北辰三角洲-君悦香邸,"https://image1.ljcdn.com/110000-inspection/pc1_1uCJMz01Q_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651218783718604800.html,2700 元/月
整租·凯通公馆,40.00㎡,1室1厅1卫,南,芙蓉,火车站-凯通公馆,https://image1.ljcdn.com/rent-user-avatar/736968cd-08c3-4727-b697-71b5fe143a31.250x182.jpg,https://cs.lianjia.com/zufang/CS1689930310478725120.html,1668 元/月
整租·天心阁社区,20.00㎡,1室1厅1卫,南,天心,书院路-天心阁社区,https://image1.ljcdn.com/rent-user-avatar/abfad5c6-19b2-46da-9748-f1d668f09611.250x182.jpg,https://cs.lianjia.com/zufang/CS1689932959135563776.html,1508 元/月
整租·华天LOHO小镇,117.00㎡,3室2厅2卫,南,长沙县,泉塘-华天LOHO小镇,"https://image1.ljcdn.com/110000-inspection/pc1_2LwaAbBKR.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651208426870538240.html,2200 元/月
整租·和庄,117.00㎡,3室2厅2卫,南,天心,新开铺-和庄,"https://image1.ljcdn.com/110000-inspection/pc1_FqaFWIV3E.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651201911908466688.html,2800 元/月
整租·尚都花园城,117.00㎡,3室2厅2卫,东南,长沙县,泉塘-尚都花园城,"https://image1.ljcdn.com/430100-inspection/pc1_z755SJVhN_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651184710354731008.html,2500 元/月
整租·世茂铂翠湾,105.00㎡,3室2厅1卫,南,岳麓,滨江新城-世茂铂翠湾,"https://image1.ljcdn.com/110000-inspection/pc1_1wdndW8pd.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651429413385928704.html,3200 元/月
合租·天翼花园,30.00㎡,5室1厅1卫,南,雨花,高桥-天翼花园,https://image1.ljcdn.com/rent-user-avatar/2f04b9a2-96de-45fa-9794-83de488257e5.250x182.jpg,https://cs.lianjia.com/zufang/CS1689952313684262912.html,1115 元/月
合租·兴隆景苑,15.00㎡,5室0厅2卫,东,雨花,德思勤-兴隆景苑,https://image1.ljcdn.com/rent-user-avatar/075fb609-1729-4dee-8577-2267a5e8d986.250x182.jpg,https://cs.lianjia.com/zufang/CS1683812511977046016.html,650 元/月
整租·达美溪湖湾,195.00㎡,4室2厅2卫,西南,岳麓,梅溪湖南岸-达美溪湖湾,"https://image1.ljcdn.com/110000-inspection/pc1_PmHGlmPhR_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651422559964495872.html,2000 元/月
合租·德雅路社区物业服务中心,15.00㎡,4室1厅2卫,南,开福,烈士公园-德雅路社区物业服务中心,https://image1.ljcdn.com/rent-user-avatar/ca0844be-afa2-4114-bb91-e90cb786c9cf.250x182.jpg,https://cs.lianjia.com/zufang/CS1683826641626726400.html,800 元/月
整租·尚都花园城,36.00㎡,1室1厅1卫,南,长沙县,泉塘-尚都花园城,"https://image1.ljcdn.com/110000-inspection/pc1_gyCh23a1r.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651428662060253184.html,1000 元/月
整租·馨域大厦,90.00㎡,2室2厅1卫,南,开福,伍家岭-馨域大厦,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1651196880865984512.html,3200 元/月
合租·德雅路社区物业服务中心,22.00㎡,4室1厅2卫,南,开福,烈士公园-德雅路社区物业服务中心,https://image1.ljcdn.com/rent-user-avatar/c26373c0-6e48-4ff8-abd0-d9a0547e1548.250x182.jpg,https://cs.lianjia.com/zufang/CS1683826639915450368.html,850 元/月
整租·德馨园,110.00㎡,4室2厅2卫,南,雨花,韶山南路-德馨园,"https://image1.ljcdn.com/110000-inspection/pc1_gdqZFkcJB.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651186838032875520.html,2100 元/月
合租·湘银嘉园,20.00㎡,5室2厅2卫,南,天心,金盆岭-湘银嘉园,https://image1.ljcdn.com/rent-user-avatar/c1b19fde-a295-4aeb-b06e-2253dc465cef.250x182.jpg,https://cs.lianjia.com/zufang/CS1683826990265663488.html,815 元/月
整租·华远华时代,68.00㎡,4室1厅2卫,南,开福,烈士公园-华远华时代,"https://image1.ljcdn.com/110000-inspection/pc1_OovIXPnTl.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651180664801722368.html,6500 元/月
合租·名都花园,25.00㎡,5室1厅1卫,南,雨花,赤岗冲-名都花园,https://image1.ljcdn.com/rent-user-avatar/e0791726-1142-43c8-9b0e-56aa689e80a3.250x182.jpg,https://cs.lianjia.com/zufang/CS1685137212678602752.html,940 元/月
整租·万科金色梦想,53.00㎡,2室2厅2卫,南,岳麓,东方红-万科金色梦想,"https://image1.ljcdn.com/110000-inspection/pc1_o7MolMD2G.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651239230082383872.html,3200 元/月
合租·美林景园,26.00㎡,5室1厅2卫,南,雨花,武广新城-美林景园,https://image1.ljcdn.com/rent-user-avatar/b7d68c2f-2266-4a4d-b8d7-c6efafbf80c0.250x182.jpg,https://cs.lianjia.com/zufang/CS1574610416040935424.html,850 元/月
合租·茂华国际湘,18.00㎡,5室1厅2卫,南,雨花,武广新城-茂华国际湘,https://image1.ljcdn.com/rent-user-avatar/50f3d439-02c5-40db-a02a-d1b13bb81eaf.250x182.jpg,https://cs.lianjia.com/zufang/CS1575346619996438528.html,630 元/月
整租·雄新水印廊桥,95.00㎡,3室2厅2卫,南,开福,福元西路-雄新水印廊桥,"https://image1.ljcdn.com/110000-inspection/pc1_FNks74I58_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1581151038746918912.html,2200 元/月
整租·恒大御景半岛二期、三期,64.00㎡,1室1厅1卫,南北,开福,湘江世纪城-恒大御景半岛二期、三期,"https://image1.ljcdn.com/110000-inspection/pc1_iWU1wRASx.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1580869277097918464.html,1800 元/月
整租·旭辉御府,120.00㎡,3室2厅2卫,南,岳麓,梅溪湖北岸-旭辉御府,"https://image1.ljcdn.com/110000-inspection/pc1_UQmNGTVoT_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1581999945961963520.html,1500 元/月
整租·百纳公寓,112.00㎡,3室2厅2卫,南北,芙蓉,马王堆-百纳公寓,"https://image1.ljcdn.com/110000-inspection/pc1_ueswBl2gV.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1581245363598131200.html,2980 元/月
合租·南沙公寓,20.00㎡,5室1厅2卫,南,天心,书院路-南沙公寓,https://image1.ljcdn.com/rent-user-avatar/7d5f8d89-9bca-454c-b8c4-34c57bfc96a6.250x182.jpg,https://cs.lianjia.com/zufang/CS1580426549520236544.html,760 元/月
合租·审计署宿舍小区,20.00㎡,5室1厅1卫,南,芙蓉,晚报-审计署宿舍小区,https://image1.ljcdn.com/rent-user-avatar/e138d34e-1fcd-4e3e-b214-1da917bddabc.250x182.jpg,https://cs.lianjia.com/zufang/CS1603277252592664576.html,1100 元/月
整租·金茂府,144.00㎡,3室2厅2卫,南,岳麓,梅溪湖北岸-金茂府,"https://image1.ljcdn.com/110000-inspection/pc1_7NaHB873S_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1581982795750703104.html,4800 元/月
合租·珠江郦城公园1号,24.00㎡,5室0厅2卫,南,开福,福元西路-珠江郦城公园1号,https://image1.ljcdn.com/rent-user-avatar/90c7bc3b-8920-4761-b31a-9637d20e7d44.250x182.jpg,https://cs.lianjia.com/zufang/CS1604389320762851328.html,1088 元/月
整租·尚都美寓,25.00㎡,1室1厅1卫,北,长沙县,泉塘-尚都美寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1581538633389703168.html,1000 元/月
整租·佳程c+广场,45.00㎡,1室1厅1卫,南,天心,东塘-佳程c+广场,https://image1.ljcdn.com/rent-user-avatar/b0516d48-1d38-4872-8960-2a47a7ce9065.250x182.jpg,https://cs.lianjia.com/zufang/CS1645643852138151936.html,1918 元/月
